index,binding,receptor
3,2.16866,Binding FcγRIIb/c
3,1.037374,Binding FcγRIIb/c
3,1.698764,Binding FcγRIIb/c
3,1.288836,Binding FcγRIIb/c
3,1.063876,Binding FcγRIIb/c
4,0.996347,Binding FcγRIIb/c
4,1.137369,Binding FcγRIIb/c
4,1.019768,Binding FcγRIIb/c
5,1.161967,Binding FcγRIIb/c
5,1.579454,Binding FcγRIIb/c
5,1.259058,Binding FcγRIIb/c
5,2.002586,Binding FcγRIIb/c
5,0.895061,Binding FcγRIIb/c
6,0.642279,Binding FcγRIIb/c
6,2.150166,Binding FcγRIIb/c
6,1.91433,Binding FcγRIIb/c
6,4.845805,Binding FcγRIIb/c
7,2.168956,Binding FcγRIIb/c
7,2.102291,Binding FcγRIIb/c
7,2.258136,Binding FcγRIIb/c
7,1.734694,Binding FcγRIIb/c
7,1.121438,Binding FcγRIIb/c
8,1.857114,Binding FcγRIIb/c
8,3.268315,Binding FcγRIIb/c
8,1.910205,Binding FcγRIIb/c
9,0.958002,Binding FcγRIIb/c
9,0.630225,Binding FcγRIIb/c
9,1.188611,Binding FcγRIIb/c
9,1.836566,Binding FcγRIIb/c
9,4.325865,Binding FcγRIIb/c
9,1.409598,Binding FcγRIIb/c
9,0.70449,Binding FcγRIIb/c
10,0.646393,Binding FcγRIIb/c
10,1.007029,Binding FcγRIIb/c
10,1.320287,Binding FcγRIIb/c
10,1.583151,Binding FcγRIIb/c
10,1.282871,Binding FcγRIIb/c
11,3.25483,Binding FcγRIIb/c
11,2.4171,Binding FcγRIIb/c
11,2.008212,Binding FcγRIIb/c
11,3.251808,Binding FcγRIIb/c
11,0.865802,Binding FcγRIIb/c
12,1.413432,Binding FcγRIIb/c
12,1.733005,Binding FcγRIIb/c
12,1.492425,Binding FcγRIIb/c
12,1.004773,Binding FcγRIIb/c
13,0.871565,Binding FcγRIIb/c
13,1.303279,Binding FcγRIIb/c
13,1.221299,Binding FcγRIIb/c
13,0.59715,Binding FcγRIIb/c
14,1.801876,Binding FcγRIIb/c
14,0.989843,Binding FcγRIIb/c
14,1.143428,Binding FcγRIIb/c
14,1.390498,Binding FcγRIIb/c
14,0.568862,Binding FcγRIIb/c
15,0.824408,Binding FcγRIIb/c
15,1.305536,Binding FcγRIIb/c
15,1.571701,Binding FcγRIIb/c
15,1.453063,Binding FcγRIIb/c
16,1.247491,Binding FcγRIIb/c
16,1.126815,Binding FcγRIIb/c
16,1.004773,Binding FcγRIIb/c
17,1.889291,Binding FcγRIIb/c
17,1.611461,Binding FcγRIIb/c
17,1.452377,Binding FcγRIIb/c
18,1.604162,Binding FcγRIIb/c
18,1.388312,Binding FcγRIIb/c
18,1.324657,Binding FcγRIIb/c
19,3.313093,Binding FcγRIIb/c
19,1.495689,Binding FcγRIIb/c
19,1.038053,Binding FcγRIIb/c
19,1.630841,Binding FcγRIIb/c
19,0.711296,Binding FcγRIIb/c
19,1.762467,Binding FcγRIIb/c
19,1.634955,Binding FcγRIIb/c
19,2.355303,Binding FcγRIIb/c
20,1.00696,Binding FcγRIIb/c
20,1.578875,Binding FcγRIIb/c
20,1.230888,Binding FcγRIIb/c
20,0.759273,Binding FcγRIIb/c
1,1.84295,Binding FcγRIIIa 158F
1,2.945609,Binding FcγRIIIa 158F
1,2.64692,Binding FcγRIIIa 158F
1,2.814787,Binding FcγRIIIa 158F
1,3.637455,Binding FcγRIIIa 158F
1,3.684003,Binding FcγRIIIa 158F
1,2.353179,Binding FcγRIIIa 158F
1,3.567565,Binding FcγRIIIa 158F
2,0.731651,Binding FcγRIIIa 158F
2,0.452188,Binding FcγRIIIa 158F
2,0.90378,Binding FcγRIIIa 158F
2,1.129226,Binding FcγRIIIa 158F
2,1.470468,Binding FcγRIIIa 158F
2,1.727078,Binding FcγRIIIa 158F
2,2.305868,Binding FcγRIIIa 158F
2,1.356876,Binding FcγRIIIa 158F
2,1.25339,Binding FcγRIIIa 158F
2,0.932516,Binding FcγRIIIa 158F
2,1.003563,Binding FcγRIIIa 158F
2,0.882343,Binding FcγRIIIa 158F
3,1.805295,Binding FcγRIIIa 158F
3,2.728415,Binding FcγRIIIa 158F
3,1.83734,Binding FcγRIIIa 158F
3,2.15178,Binding FcγRIIIa 158F
3,3.163213,Binding FcγRIIIa 158F
3,2.937161,Binding FcγRIIIa 158F
4,1.707023,Binding FcγRIIIa 158F
4,1.51571,Binding FcγRIIIa 158F
4,1.286005,Binding FcγRIIIa 158F
5,2.16998,Binding FcγRIIIa 158F
5,2.829085,Binding FcγRIIIa 158F
5,1.812073,Binding FcγRIIIa 158F
5,2.33124,Binding FcγRIIIa 158F
5,1.961188,Binding FcγRIIIa 158F
5,2.64732,Binding FcγRIIIa 158F
5,3.057509,Binding FcγRIIIa 158F
